id,generation_source,title,description,startTime,endTime,generation_source_continue
Calendar-45,180-1,整理返乡行李并确认行程,整理给父母的湖南特产（酱板鸭、黑茶）和礼物，根据武汉天气预报搭配衣物，检查笔记本电脑、充电器、相机等设备，确认G1005次高铁电子车票，来源：个人安排,2025-02-08 10:00:00,2025-02-08 11:30:00,180-a
Calendar-46,195-1,G1005 次列车（长沙南 - 武汉）,G1005 次列车（长沙南站→武汉站），2025-02-08 18:20 发车，座位号 08车12F，凭身份证检票，来源：12306,2025-02-08 18:20:00,2025-02-08 18:20:00,195-a
Calendar-47,4-8,与黄思琪视频会议,通过视频会议系统与客户黄思琪连线，汇报市场波动下的资产配置调整建议，并听取对方新的投资需求。双方就科技行业趋势进行了深入讨论，会议有效巩固了客户关系并明确下一步行动方向。,2025-02-09 14:30:00,2025-02-09 16:00:00,4-i
Calendar-48,181-2,除夕年夜饭,除夕年夜饭，2025-02-09 17:30 开始，地点：父母家餐厅，参与人：冯浩然、冯建国、李秀英、冯欣然，来源：家庭安排,2025-02-09 17:30:00,2025-02-09 20:00:00,181-b
Calendar-49,198-1,晋升材料整理启动,启动个人晋升材料整理工作，2025-02-10 20:00 开始，需登录公司安全系统导出业绩数据并搭建可视化图表框架，来源：今日事件规划,2025-02-10 20:00:00,2025-02-10 21:15:00,198-a
Calendar-50,4-3-3,与父亲讨论家庭财务与医疗保障,与父亲冯建国在父母家书房讨论家庭财务与医疗保障，2025-02-11 09:45开始，主要涉及资产盘点、现有保单梳理及未来大额医疗支出担忧，来源：家庭约定,2025-02-11 09:45:00,2025-02-11 11:30:00,4-c
Calendar-51,4-3-3,与周雨薇视频讨论保险研究,与大学同学周雨薇进行视频会议，讨论老年医疗补充保险研究，2025-02-11 16:40开始，共享屏幕展示产品对比表格，从产品设计、公司资质等角度提供外部视角，来源：微信约定,2025-02-11 16:40:00,2025-02-11 17:10:00,4-c
Calendar-52,197-4-1,保险决策分析与视频敲定,与父亲冯建国进行微信视频通话，共享屏幕解释A、B保险产品差异，回答关于保费和理赔流程的疑问，最终共同决定投保B产品，承诺后续完成线上操作，来源：当日家庭事务,2025-02-13 09:40:00,2025-02-13 11:15:00,197-d
Calendar-53,183-3-3,Gxxxx次高铁（武汉 - 长沙）,Gxxxx次高铁（武汉站→长沙南站），2025-02-14 12:20 发车，座位号 08车12F，凭身份证检票，来源：铁路12306,2025-02-14 12:20:00,2025-02-14 12:20:00,183-c
Calendar-54,,晚间事务处理与就寝准备,打开铁路12306 APP，最终确认并购买2025年2月15日上午9:24从武汉站出发、11:42抵达长沙南站的G1103次列车二等座车票，将订单信息截图发给家庭微信群和室友吴俊杰，来源：当日个人事务,2025-02-13 20:45:00,2025-02-13 22:30:00,
Calendar-55,197-5-1,家庭保险线上投保,家庭保险线上投保，2025-02-15 09:00 开始，需登录保险平台填写父母信息、完成健康告知并支付保费，生成电子保单后发送给父亲并致电说明，来源：今日事件安排,2025-02-15 09:00:00,2025-02-15 09:00:00,197-e
Calendar-56,182-3-1,向母亲同步家庭财务规划,时间 2025-02-16 09:15 至 10:00，核心要素 向母亲李秀英展示家庭资产配置图与新增医疗补充保险详情，解释规划逻辑、风险保障及预期收益，来源：今日事件,2025-02-16 09:15:00,2025-02-16 10:00:00,182-c
Calendar-57,184-1,整理返程行李并确认行程,时间 2025-02-16 15:10 至 16:30，核心要素 整理次日返程行李箱，包括衣物、个人用品和武汉特产，最终确认从家打车前往武汉站的高铁班次、预计出发时间和路线，来源：今日事件,2025-02-16 15:10:00,2025-02-16 16:30:00,184-a
Calendar-58,197-6,视频告知母亲保险详情,与母亲李秀英视频通话，详细解释电子保单关键条款和理赔流程，使用屏幕共享，通话结束后将保单文件发到家庭群，来源：家庭沟通,2025-02-17 09:15:00,2025-02-17 10:00:00,197-f
Calendar-59,184-2-3,告别父母并前往武汉站,与父母冯建国和李秀英告别，乘坐预约的网约车前往武汉站，通勤约40分钟，途中收听财经播客，来源：个人出行安排,2025-02-17 12:30:00,2025-02-17 13:10:00,184-b
Calendar-60,198-3,梳理晋升材料团队贡献,集中梳理晋升述职材料中的团队贡献，回顾与郑文博、孙晓雅协作完成的关键案例，如黄思琪跨市场资产配置方案、某家族办公室定制化服务，梳理协调、策略制定和风险把控角色，筛选邮件、会议纪要、报告作为佐证，来源：个人工作规划,2025-02-19 15:40:00,2025-02-19 17:10:00,198-c
Calendar-61,186-2-3,向钱永强汇报,向直属上司钱永强简要汇报与黄思琪会议的核心内容及达成的下一步计划，目的是听取上司的指导意见。,2025-02-20 14:00:00,2025-02-20 15:00:00,186-b
Calendar-62,47-1,与妹妹远程策划父亲生日宴,通过微信视频与在上海的妹妹冯欣然连线，讨论父亲下个月六十大寿安排，初步分工：冯浩然负责武汉本地餐厅考察和预订，冯欣然负责礼物筛选和蛋糕预订，约定周末再对接进度，来源：家庭视频通话,2025-02-20 21:15:00,2025-02-20 22:00:00,47-a
Calendar-63,186-3,上午工作与规划,上午工作与规划，2025-02-21 09:30 开始，处理紧急客户邮件，规划三月中旬深圳出差行程，完善新季度行动计划书，来源：当日工作安排,2025-02-21 09:30:00,2025-02-21 12:00:00,186-c
Calendar-64,185-4,向上司汇报并优化计划,向上司汇报并优化计划，2025-02-21 13:30 开始，向上司钱永强专题汇报新季度计划，阐述科技企业客户拓展策略、研究支持和出差预算，获得优化建议后修改行动计划书，来源：当日工作安排,2025-02-21 13:30:00,2025-02-21 15:00:00,185-d
Calendar-65,,露营行前线上核对,露营行前线上核对，2025-02-21 19:15 开始，通过微信视频与朋友彭雨晴、吴俊杰进行露营行前最终核对，逐项确认公共物资分工、集合时间地点和应急预案，来源：当日计划安排,2025-02-21 19:15:00,2025-02-21 20:00:00,
Calendar-66,187-4,恢复训练计划制定,调整训练计划，增加跑步频率至每周四次，并规划了接下来一周的渐进式恢复训练内容。,2025-02-21 20:00:00,2025-02-21 20:30:00,187-a
Calendar-67,124-1-3,与邻居协商噪音问题,友好协商晚间安静时段，邻居同意晚上10点后减少使用跑步机等设备,2025-02-22 20:00:00,2025-02-22 20:30:00,124-a
Calendar-68,124-1-2,与邻居沟通噪音问题,晚上9点左右，礼貌地敲开楼上邻居的门，与一位三十岁左右的男士沟通。委婉提出晚上跑步机的声音对休息和阅读有影响，建议晚上10点后避免使用会产生持续震动的设备。邻居表示理解并道歉，解释最近在减肥未注意到影响，答应调整使用时间。沟通气氛友好。,2025-02-22 21:00:00,2025-02-22 21:30:00,124-a
Calendar-69,124-1-1,与邻居沟通噪音问题,晚上9点左右与楼上邻居沟通。我作为新搬来的楼下邻居，委婉提出晚上跑步机的声音对休息和阅读有影响，询问是否可能协商晚上10点后避免使用。邻居表示理解并略带歉意，解释最近在减肥没注意到影响，答应会调整使用时间。沟通气氛友好。,2025-02-22 21:00:00,2025-02-22 21:30:00,124-a
Calendar-70,4-4-1,复习投资组合管理,系统复习资产配置理论、风险预算、业绩归因等核心公式和模型,2025-02-24 00:00:00,2025-02-24 23:59:59,4-d
Calendar-71,,与客户黄思琪电话会议,与科技公司创始人黄思琪进行视频会议，讨论股权激励资金长期配置方案，2025-02-25 13:30 开始，会议链接已通过邮件发送，来源：今日日程安排,2025-02-25 13:30:00,2025-02-25 14:30:00,
Calendar-72,124-2-1,噪音观察记录,与邻居沟通后，观察噪音改善情况。噪音减少但仍有残留，需后续跟进。,2025-02-26 00:00:00,2025-02-26 23:59:59,124-b
Calendar-73,,客户季度电话回顾（林志豪）,与上海客户林志豪进行季度电话回顾，2025-02-27 13:30:00 开始，汇报上季度投资组合表现与归因分析，提出微调建议，来源：今日事件日程,2025-02-27 13:30:00,2025-02-27 14:30:00,
Calendar-74,,撰写与完善晋升述职报告,撰写与完善晋升述职报告，2025-03-01 08:25 开始，预计持续至 12:00，地点：家中书房，来源：当日事件,2025-03-01 08:25:00,2025-03-01 12:00:00,
Calendar-75,198-5,梅溪湖会面与讨论,与同事郑文博在金茂览秀城湖畔餐厅户外露台会面，讨论晋升报告初稿，2025-03-02 13:50 开始，来源：与郑文博约定,2025-03-02 13:50:00,2025-03-02 15:20:00,198-e
Calendar-76,103-2,阅读投资新书,阅读《周期、价值与人性》，深入思考市场周期与人性关系，导致晚睡。,2025-03-02 22:00:00,2025-03-02 23:45:00,103-b
Calendar-77,198-6-2,上午办公室工作与晋升材料提交,上午办公室工作与晋升材料提交，2025-03-04 09:35 开始，通过企业微信向钱永强总监正式提交晋升材料并预约面谈，来源：当日工作安排,2025-03-04 09:35:00,2025-03-04 12:00:00,198-f
Calendar-78,198-6-3,晋升面谈确认通知,晋升面谈确认通知，2025-03-07 14:00 开始，与钱永强总监在其办公室进行述职面谈，已通过企业微信确认并录入日程，来源：钱永强总监企业微信通知,2025-03-07 14:00:00,2025-03-07 15:30:00,198-f
Calendar-79,208-1,季度投资策略研讨会PPT制作,为下周三的季度投资策略研讨会制作PPT，主题为风起于青萍之末——2025Q2市场展望与配置策略，2025-03-09 10:30开始，来源：今日工作计划,2025-03-09 10:30:00,2025-03-09 12:00:00,208-a
Calendar-80,6-1,季度投资策略研讨会通知,2025-03-12 14:00 开始，湖南广电中心写字楼会议室，会议议程已通过邮件发送给部门全体同事及上司钱永强，来源：冯浩然发送的邮件,2025-03-12 14:00:00,2025-03-12 15:30:00,6-a
Calendar-81,6-3,与高净值客户视频沟通,与高净值客户黄思琪视频沟通，2025-03-12 14:25 开始，在华泰证券视频会议室汇报定制资产配置调整方案，来源：客户预约,2025-03-12 14:25:00,2025-03-12 15:30:00,6-c
Calendar-82,207-6-2,主持季度投资策略研讨会,季度投资策略研讨会，2025-03-12 09:30 开始，在华泰证券大会议室举行，主讲人冯浩然，来源：公司日程,2025-03-12 09:30:00,2025-03-12 12:00:00,207-f
Calendar-83,207-6-1,完成投资报告定稿与提交,投资报告定稿与提交，2025-03-12 13:10 开始，在办公室完成《二季度科技股投资机会与风险》及《利率债配置策略微调》报告，通过OA系统提交，来源：工作安排,2025-03-12 13:10:00,2025-03-12 14:25:00,207-f
Calendar-84,6-5,一季度工作汇报与复盘会议,一季度工作汇报与复盘会议，2025-03-14 09:30 开始，向投资总监钱永强及团队汇报市场研判、客户策略、业绩达成及典型案例分析，来源：公司日程,2025-03-14 09:30:00,2025-03-14 11:00:00,6-e
Calendar-85,194-6-2,露营装备补货下单,清点露营装备发现旧炉头点火问题，基于安全考量在京东下单购买新款分体炉头，选择次日达，来源：京东购物记录,2025-03-13 19:00:00,2025-03-13 19:00:00,194-f
Calendar-86,47-3-1,前往长沙南站并确认生日宴细节,前往长沙南站并确认生日宴细节，2025-03-14 19:45 出发，预约网约车前往长沙南站，途中与武汉生日宴餐厅经理确认最终人数、菜品忌口（父亲少辣）、包厢及蛋糕送达安排，来源：个人计划,2025-03-14 19:45:00,2025-03-14 19:45:00,47-c
Calendar-87,7-7,向上司汇报项目构想,向上司钱永强汇报为高净值客户黄思琪组建跨部门虚拟服务小组的构想，2025-03-17 10:15:00 开始，地点为投资总监办公室，来源：内部通讯软件预约,2025-03-17 10:15:00,2025-03-17 10:45:00,7-k
Calendar-88,101-8-1,跑步会议（与高云飞）,与高云飞沿湘江中路步道从风帆广场慢跑至杜甫江阁附近折返，边跑边就本地科创项目投资前景进行头脑风暴，时间 2025-03-18 18:00 开始，来源：与高云飞的约定,2025-03-18 18:00:00,2025-03-18 19:00:00,101-h
Calendar-89,7-8-1,虚拟项目小组首次线上会议,黄思琪科技主题资产配置项目虚拟小组首次线上会议，2025-03-20 15:00 开始，会议链接将通过Teams发送，来源：今日与郑文博、孙晓雅沟通确认,2025-03-20 15:00:00,2025-03-20 16:30:00,7-l
Calendar-90,205-2,与妹妹视频通话安排父母体检,与妹妹冯欣然视频通话，讨论为父母预约武汉协和医院体检事宜，2025-03-20 13:10 开始，来源：当日事件,2025-03-20 13:10:00,2025-03-20 13:40:00,205-b
Calendar-91,208-9,客户林志豪季度投资汇报,视频会议向客户林志豪汇报季度投资报告，重点阐述房地产资产的风险对冲措施，2025-03-21 14:00 开始，会议链接已发邮箱，来源：华泰证券内部日程,2025-03-21 14:00:00,2025-03-21 15:30:00,208-i
Calendar-92,122-2-2,团队拓展训练,团队拓展训练（宁乡金太阳温泉度假村户外拓展训练基地及多功能活动室），2025-03-22 13:30 开始，预计17:00结束，来源：公司团队建设活动通知,2025-03-22 13:30:00,2025-03-22 17:00:00,122-b
Calendar-93,205-4-2,父母体检预约（武汉协和医院）,为父母两人预约武汉协和医院体检中心全面体检套餐，2025-04-12 上午，已支付费用，预约成功短信已发家庭群，来源：电话预约,2025-04-12 08:00:00,2025-04-12 08:00:00,205-d
Calendar-94,7-3,团队小组会议（数据收集项目）,与郑文博、孙晓雅进行虚拟小组短会，讨论科技数据收集框架、初步发现及下一步分工，来源：团队安排,2025-03-24 15:00:00,2025-03-24 16:00:00,7-f
Calendar-95,212-1,晋升材料整理与晨会,上午工作：晋升材料整理与晨会，2025-03-25 09:25 开始，与投资总监钱永强、同事郑文博同步市场焦点和工作计划，随后专注撰写晋升述职报告，来源：今日事件,2025-03-25 09:25:00,2025-03-25 12:00:00,212-a
Calendar-96,212-1,晋升材料定稿与客户需求汇报,下午工作：晋升材料定稿与客户需求汇报，2025-03-25 14:45 开始，将晋升材料最终定稿发送给钱总，随后观看客户经理孙晓雅与客户黄思琪的需求访谈录像并记录要点，来源：今日事件,2025-03-25 14:45:00,2025-03-25 16:00:00,212-a
Calendar-97,102-7,岳麓山跑步合练,与跑友高云飞在岳麓山环湖路跑道进行5公里合练，18:10开始，预计19:15结束，来源：与高云飞约定,2025-03-27 18:10:00,2025-03-27 19:15:00,102-g
Calendar-98,212-2,提交晋升述职报告,2025-03-28 09:20 至 10:30，在华泰证券办公室个人工位提交《晋升投资总监述职报告》最终版PDF及相关材料，来源：当日工作安排,2025-03-28 09:20:00,2025-03-28 10:30:00,212-b
Calendar-99,203-2,午休与个人事务处理,2025-03-28 13:10 至 13:40，在办公室处理个人事务，包括预约普拉提体验课、预订清明高铁票、提交调休申请，来源：当日日程,2025-03-28 13:10:00,2025-03-28 13:40:00,203-b
Calendar-100,8-1-4,与藏友罗振宇月度邮票分享视频通话,与藏友罗振宇进行月度邮票分享视频通话，2025-03-29 21:50 开始，预计时长1小时，讨论近期收藏和市场走势，来源：个人约定,2025-03-29 21:50:00,2025-03-29 22:50:00,8-a
Calendar-101,200-3-1,月度财务复盘与投资管理,月度财务复盘与投资管理，2025-03-30 14:15 开始，预计持续约3小时，涉及收支核对、投资组合检视与调仓，来源：个人财务规划,2025-03-30 14:15:00,2025-03-30 17:15:00,200-c
Calendar-102,,普拉提常规小班课（4月）,普拉提常规小班课，2025-04-02 19:30 开始，课程时长60分钟，预约码 PT2025040201，凭预约码签到，来源：心流普拉提工作室微信公众号,2025-04-02 19:30:00,2025-04-02 20:30:00,
Calendar-103,7-6-2,项目团队第二次线上会议,项目团队第二次线上会议，2025-04-01 09:00 开始，预计时长1.5小时，需提前调试设备并与线上同事沟通对齐，来源：上午工作安排,2025-04-01 09:00:00,2025-04-01 10:30:00,7-i
Calendar-104,58-1,周末精品咖啡豆品鉴会,周末精品咖啡豆品鉴会，2025-04-05 14:30 开始，地点为一丹咖啡厅，分享三款稀有瑰夏豆，来源：坐标咖啡老板沈心怡邀请,2025-04-05 14:30:00,2025-04-05 16:30:00,58-a
Calendar-105,219-5-2,部门二季度投资策略分享会,部门二季度投资策略分享会，2025-04-02 13:30 开始，地点公司会议室，主讲人冯浩然，来源：今日事件,2025-04-02 13:30:00,2025-04-02 16:30:00,219-e
Calendar-106,210-2-1,紧急客户视频会议,与客户黄思琪和林志豪进行视频电话，2025-04-03 09:00 开始，回复假期前咨询并确认节后安排，同步处理紧急邮件给出投资建议，来源：当日工作安排,2025-04-03 09:00:00,2025-04-03 10:30:00,210-b
Calendar-107,209-2-1,个人财务季度复盘,个人财务季度复盘与策略调整，2025-04-02 19:45 开始，地点家中书房，来源：今日事件,2025-04-02 19:45:00,2025-04-02 21:15:00,209-b
Calendar-108,,G832 次列车（武汉 - 长沙）,G832 次列车（武汉站→长沙南站），2025-04-05 09:30 发车，预定码 5A2B8C，凭身份证检票，来源：铁路12306,2025-04-05 09:30:00,2025-04-05 09:30:00,
Calendar-109,213-1,晨跑 - 与高云飞,"地点：岳麓山南路
备注：交流市场与科技行业观点",2025-04-07 07:00:00,2025-04-07 08:00:00,213-a
Calendar-110,9-1-2,梳理薄弱模块知识点,针对财务报表分析和股权投资等薄弱环节，集中梳理官方教材和笔记，归纳会计准则、估值模型等核心知识点，形成结构化复习提纲。,2025-04-07 09:00:00,2025-04-07 11:00:00,9-a
Calendar-111,209-3,晨跑与高云飞交流,分享策略调整逻辑，听取其对科技行业及宏观经济的看法,2025-04-07 07:00:00,2025-04-07 08:00:00,209-c
Calendar-112,16-6,CFA三级学习,复习教材、做习题、整理错题笔记,2025-04-07 19:00:00,2025-04-07 22:00:00,16-f
Calendar-113,,CFA备考进度复盘与冲刺规划,CFA备考进度复盘与四月冲刺计划制定，2025-04-07 19:40 开始，复盘三月学习记录和错题本，圈出财务报表分析和股权投资的薄弱环节，制定激进的四月冲刺表，计划每天额外增加1.5小时专攻薄弱模块并配套加倍习题量，来源：个人学习规划,2025-04-07 19:40:00,2025-04-07 21:40:00,
Calendar-114,9-1-1,制定CFA四月学习计划,评估三月备考不足，发现财务报表分析和股权投资等模块掌握不牢。重新规划四月详细学习计划，明确每日学习时长和模块目标。,2025-04-07 20:00:00,2025-04-07 21:30:00,9-a
