id,generation_source,title,content,datetime,source,generation_source_continue
Push-12,2-4-1,系统：存储空间不足提醒,【系统通知】您的iPhone存储空间已使用超过90%，建议清理照片、视频或卸载不常用的APP以释放空间。,2025-01-01 21:10:00,系统存储管理,2-h
Push-13,,Keep：晨跑运动记录已生成,【Keep】您于06:40开始的3公里晨跑已完成，平均配速6分30秒，心率保持在有氧区间。运动数据已同步，点击查看详细报告。,2025-01-02 07:05:00,Keep,
Push-14,,网易云音乐：私人FM新歌推荐,【网易云音乐】根据您的听歌喜好，今日为您推荐爵士乐歌单“清晨的微光”，包含Norah Jones等歌手作品，点击一键收听。,2025-01-02 07:20:00,网易云音乐,
Push-15,160-1,高德地图：通勤路况提醒,【高德地图】您常走的从岳麓区双塘路到开福区芙蓉中路路线当前畅通，预计08:35到达。已为您避开拥堵路段。,2025-01-02 08:02:00,高德地图,160-a
Push-16,160-1,企业微信：同事发来新消息,【企业微信】郑文博：浩然，上午的会议材料我已经发到共享盘了，科技板块的补充观点在最后一部分，你看一下。,2025-01-02 08:40:00,企业微信,160-a
Push-17,160-1,雪球：您关注的板块有异动,【雪球】您关注的科技板块早盘拉升，相关ETF涨幅超1.5%。分析师认为与政策预期有关，点击查看详情。,2025-01-02 10:15:00,雪球,160-a
Push-18,,美团：订单支付成功,【美团】您在小炒黄牛肉快餐店（金鹰路店）的订单#MT202501021201已支付成功，金额68元。商家已接单，预计12:40前出餐。,2025-01-02 12:03:00,美团,
Push-19,161-1,美年大健康：体检预约成功通知,【美年大健康】您已成功预约2025年1月9日的全面健康体检（空腹项目），预约码：MN20250102001。请携带身份证准时到院。,2025-01-02 12:25:00,美年大健康,161-a
Push-20,160-1,腾讯会议：会议即将开始,【腾讯会议】您预约的与孙晓雅的视频会议将于15分钟后开始。会议主题：客户动态同步，会议号：8845 2211 77。,2025-01-02 14:15:00,腾讯会议,160-a
Push-21,,系统：存储空间不足提醒,【系统通知】您的手机存储空间已使用超过90%，部分应用运行可能受影响。建议及时清理照片、视频等文件。,2025-01-02 16:30:00,系统存储管理,
Push-22,,大众点评：发现附近优质咖啡厅,【大众点评】根据您的口味，为您推荐一丹咖啡厅（浏阳河大道店）的耶加雪菲手冲咖啡，近期有摄影主题沙龙活动，点击查看详情。,2025-01-02 17:25:00,大众点评,
Push-23,,微信：彭雨晴发来消息,【微信】彭雨晴：我已经到咖啡厅了，靠窗的老位置。你拍的那些潮宗街照片我迫不及待想看了！,2025-01-02 18:00:00,微信,
Push-24,,网易云音乐：今日收听报告,【网易云音乐】您今日已收听爵士乐超过60分钟，最常播放歌单“深夜书房”。为您生成专属收听报告，点击查看。,2025-01-02 20:15:00,网易云音乐,
Push-25,,CFA Institute官方APP：学习进度提醒,【CFA Institute】您已连续学习CFA三级道德与专业准则3天，今日完成章节习题正确率达85%。保持节奏，点击继续学习。,2025-01-02 21:45:00,CFA Institute,
Push-26,,知乎：推荐CFA备考经验,【知乎】为您推荐话题“CFA三级道德科目高效复习法”，包含多位持证人的笔记分享和避坑指南，或许对您有帮助。,2025-01-02 22:10:00,知乎,
Push-27,,华尔街见闻：早间财经快讯,【华尔街见闻】央行今日开展1000亿元逆回购操作，净投放500亿元。年初流动性宽松预期升温，关注大金融板块表现。,2025-01-03 07:15:00,华尔街见闻,
Push-28,,高德地图：通勤路况提醒,【高德地图】您常走的岳麓区双塘路至开福区芙蓉中路路段当前拥堵，预计通行时间45分钟，建议您提前出发。,2025-01-03 07:55:00,高德地图,
Push-29,160-2-1,钉钉：会议即将开始提醒,【钉钉】您参与的“部门年初工作会议”将于09:30开始，地点：华泰证券会议室，请准时参加。,2025-01-03 09:00:00,钉钉,160-b
Push-30,160-2-2,大众点评：湘菜馆推荐,【大众点评】根据您的口味，为您推荐金鹰路附近评分4.8的湘菜馆“湘聚楼”，招牌菜小炒黄牛肉。,2025-01-03 12:05:00,大众点评,160-b
Push-31,,企业微信：您有新的邮件,【企业微信】客户黄思琪向您发送了一封紧急邮件，主题：短期资金配置咨询，请及时查收处理。,2025-01-03 14:05:00,企业微信,
Push-32,175-1,周末限定品鉴会更新,沈心怡老板：周末的限定咖啡豆品鉴会确定了，有埃塞俄比亚、哥伦比亚和云南的豆子，记得预留时间哦！,2025-01-03 14:30:22,微信,175-a
Push-33,,QQ音乐：每日推荐歌单,【QQ音乐】为您定制了“下班放松”歌单，包含轻音乐与爵士乐，点击即可播放，伴您轻松通勤。,2025-01-03 17:35:00,QQ音乐,
Push-34,,支付宝：便利店支付成功,【支付宝】您已成功支付新佳宜便利店订单#202501031825，金额38.5元，支付方式：花呗。,2025-01-03 18:25:00,支付宝,
Push-35,,微信：视频通话未接听提醒,【微信】您有1个来自妈妈（李秀英）的未接视频通话，可点击回拨或发送消息。,2025-01-03 19:18:00,微信,
Push-36,,系统：存储空间不足提醒,【系统通知】您的手机存储空间已使用超过90%，建议清理照片、视频或卸载不常用应用以释放空间。,2025-01-03 19:40:00,系统存储管理,
Push-37,1-1,CFA Institute：学习进度提醒,【CFA Institute】根据您的计划，今晚应完成道德与专业准则模块案例学习。登录学习平台获取最新资料。,2025-01-03 20:05:00,CFA Institute,1-a
Push-38,,墨迹天气：明日天气提醒,【墨迹天气】长沙明日（1月4日）晴转多云，气温5-12℃，北风2级，空气质量良。适宜晨跑。,2025-01-03 22:25:00,墨迹天气,
Push-39,,雪球：周末财经要闻速递,【雪球】周末市场动态：美联储最新会议纪要解读、A股年报预告期临近，多家公司业绩预喜。点击查看机构观点与投资机会梳理。,2025-01-04 08:15:00,雪球,
Push-40,,小红书：街拍摄影灵感推荐,【小红书】发现长沙潮宗街同款机位！多位摄影师分享了复古街巷人像调色技巧，快来收藏学习吧。,2025-01-04 09:45:00,小红书,
Push-41,,Adobe Lightroom：照片处理完成提醒,【Adobe Lightroom】您于09:15开始处理的15张照片已完成导出，已保存至云端。点击查看作品。,2025-01-04 10:10:00,Adobe Lightroom,
Push-42,175-4,支付宝：咖啡豆购买支付成功,【支付宝】您已成功向心怡手冲咖啡馆付款168元。订单号#CD202501041505，点击查看账单详情。,2025-01-04 15:05:00,支付宝,175-a
Push-43,,微信支付：晚餐账单支付成功,【微信支付】支付成功。您在壹盏灯(乐和城店)消费286元，账单已生成。感谢使用。,2025-01-04 18:58:00,微信,
Push-44,,Notion：学习计划模板更新提醒,【Notion】您关注的“CFA三级备考与实务结合”模板已由社区专家更新，新增股权激励税务案例模块。立即同步至您的工作区。,2025-01-04 21:20:00,Notion,
Push-45,,系统：存储空间不足提醒,【系统通知】手机存储空间已不足10%，部分应用运行可能受影响。建议及时清理照片、视频或卸载不常用应用。,2025-01-04 22:05:00,系统存储管理,
Push-46,,高德地图：出行路线推荐,【高德地图】为您推荐从云玺潮汇到步步高超市（砂之船奥莱店）的驾车路线，避开晚高峰拥堵，预计16:50到达,2025-01-05 16:05:00,高德地图,
Push-47,,支付宝：超市支付成功提醒,【支付宝】您已成功支付步步高超市订单#202501051725，金额 168.50 元，账单已同步至我的账单,2025-01-05 17:25:30,支付宝,
Push-48,163-1-3,Adobe Lightroom：照片编辑灵感,【Adobe Lightroom】您的街拍作品适合尝试复古胶片滤镜，点击查看预设包【城市记忆】，限时8折,2025-01-05 19:15:00,Adobe Lightroom,163-a
Push-49,163-1-3,系统：存储空间不足提醒,【系统通知】当前手机存储空间已使用超过90%，建议及时清理照片、视频等文件,2025-01-05 19:45:00,系统存储管理,163-a
Push-50,,雪球：ESG投资专题,【雪球】您关注的ESG投资有新的深度分析：科技行业ESG评级方法论与投资机会解读，点击查看,2025-01-05 20:10:00,雪球,
Push-51,,支付宝：课程支付成功提醒,【支付宝】您已成功支付金融在线教育平台订单#ESG20250105，金额 699 元，账单已同步至我的账单,2025-01-05 20:45:30,支付宝,
Push-52,,小睡眠：助眠音乐推荐,【小睡眠】根据您的作息计划，为您推荐【雨夜篝火】白噪音，助您22:10前轻松入睡,2025-01-05 21:30:00,小睡眠,
Push-53,,美团：餐厅预定成功通知,【美团】您已成功预定绿洲碗轻食店，预定码 789456，用餐时间 2025-01-06 12:00，请准时到店。,2025-01-06 11:55:00,美团,
Push-54,163-2,知乎：个性化课程推荐,【知乎】根据你的兴趣，为你推荐科技行业ESG投资评估实战专项课，限时9折优惠，点击查看详情。,2025-01-06 13:05:00,知乎,163-b
Push-55,,网易云音乐：个性化歌单推荐,【网易云音乐】为你推荐下班路上听的歌单《华尔街见闻·财经播客精选》，基于你的收听习惯，点击一键播放。,2025-01-06 20:12:00,网易云音乐,
Push-56,1-1,系统：存储空间不足提醒,【系统通知】当前手机存储空间已使用超过 90%，请及时清理，避免影响应用运行。,2025-01-06 21:45:00,系统存储管理,1-a
Push-57,,系统：电量低提醒,【系统通知】当前手机电量已低于 20%，请及时充电，避免影响使用,2025-01-07 06:35:00,系统电池管理,
Push-58,,雪球：早盘市场动态,【雪球】隔夜美债收益率下行，10年期国债期货主力合约高开0.12%。早盘关注银行间资金面及现券交投情绪。,2025-01-07 09:05:00,雪球,
Push-59,,华泰证券：研究报告提交成功,【华泰证券】您撰写的《债券市场波动对固收类产品影响分析》报告已成功提交至内部系统，编号为 RPT-20250107-078。,2025-01-07 12:02:00,华泰证券,
Push-60,,得到：ESG投资课程更新,【得到】您关注的ESG投资评估专项课已更新第3讲：绿色债券的识别与估值。点击开始学习。,2025-01-07 13:05:00,得到,
Push-61,,雪球：高股息板块异动提醒,【雪球】您关注的高股息板块午后出现资金流入迹象，中国神华、长江电力等龙头股涨幅居前。,2025-01-07 14:45:00,雪球,
Push-62,,下厨房：空气炸锅鸡胸肉食谱,【下厨房】您收藏的“低脂空气炸锅鸡胸肉”食谱有厨友分享了新技巧：腌制时加入少量酸奶肉质更嫩。,2025-01-07 18:30:00,下厨房,
Push-63,,Keep：拉伸课程完成提醒,【Keep】恭喜您完成“跑后下肢深度拉伸”课程（15分钟），有效缓解肌肉酸痛。坚持运动，明天继续！,2025-01-07 19:16:00,Keep,
Push-64,1-2-1,高顿教育：CFA学习提醒,【高顿教育】您今日的CFA三级固定收益学习任务（2小时）已完成80%。久期匹配策略练习题已保存，记得周末复习错题。,2025-01-07 21:55:00,高顿教育,1-b
Push-65,,淘宝：露营装备降价提醒,【淘宝】您购物车中的牧高笛轻量化帐篷（型号：冷山3）直降150元，现价899元。便携手冲咖啡器具套装同步优惠。,2025-01-07 22:15:00,淘宝,
Push-66,,慧择保险：您收藏的产品有更新,【慧择保险】您收藏的中老年医疗险产品保障细则已更新，新增了特定药品目录，请及时查看以获取最新信息。,2025-01-08 09:05:00,慧择保险,
Push-67,,雪球：今日A股市场热点速递,【雪球】早盘科技板块表现活跃，您关注的半导体ETF（512480）上涨1.5%。点击查看机构最新解读与投资策略。,2025-01-08 10:30:00,雪球,
Push-68,,支付宝：支付成功提醒,【支付宝】您已成功支付罗比零食专卖店订单#RB202501081730，金额 68.5 元，账单已同步至我的账单。,2025-01-08 17:33:00,支付宝,
Push-69,,下厨房：健康沙拉食谱推荐,【下厨房】根据您的浏览记录，为您推荐低脂高蛋白的鸡胸肉沙拉食谱，附详细步骤与热量计算，助力健康饮食。,2025-01-08 17:50:00,下厨房,
Push-70,,系统：存储空间不足提醒,【系统通知】当前手机存储空间已低于10%，建议及时清理照片、视频或卸载不常用应用，以确保系统流畅运行。,2025-01-08 20:15:00,系统存储管理,
Push-71,,Keep：您的训练日志已保存,【Keep】恭喜完成核心激活训练！本次训练时长15分钟，消耗约85千卡。坚持记录，见证改变。,2025-01-08 22:12:00,Keep,
Push-72,,微信读书：您关注的书籍有更新,【微信读书】您正在阅读的《周期》作者霍华德·马克斯发布了新的投资备忘录，已同步至书架，点击即可阅读。,2025-01-08 22:25:00,微信读书,
Push-73,161-2-1,高德地图：驾车路线推荐,【高德地图】为您规划前往美年大健康体检中心(鸥波港湾)的驾车路线，早高峰预计35分钟，途经西二环、芙蓉中路。点击查看实时路况。,2025-01-09 07:15:00,高德地图,161-b
Push-74,161-2-2,Keep：核心力量训练推荐,【Keep】根据您的健康数据，推荐一套15分钟核心与背部训练组合，包含平板支撑、臀桥等动作，助您预防腰背劳损。,2025-01-09 11:20:00,Keep,161-b
Push-75,,支付宝：便利店支付成功,【支付宝】您已成功支付便利店订单，金额18.5元。支付方式：花呗。,2025-01-09 11:42:00,支付宝,
Push-76,,大众点评：健康零食推荐,【大众点评】检测到您近期关注健康饮食，为您推荐附近评分4.8+的轻食餐厅和健康零食店铺。,2025-01-09 11:45:00,大众点评,
Push-77,,支付宝：轻食餐厅支付成功,【支付宝】您在山轻食(广电店)的消费45元支付成功。账单已同步至我的账单。,2025-01-09 12:02:00,支付宝,
Push-78,162-1,大众点评：餐厅预订成功,【大众点评】您已成功预订【麓山小院】周六晚18:30的4人位，预订码#LY20250109。请准时到店。,2025-01-09 15:35:00,大众点评,162-a
Push-79,,雪球：科技股行情速递,【雪球】您关注的科技板块午后震荡上行，多只ESG评级A+个股涨幅超3%。点击查看详细分析。,2025-01-09 16:30:00,雪球,
Push-80,,支付宝：零食专卖店支付成功,【支付宝】您在罗比零食专卖店的消费68元支付成功，已使用花呗。,2025-01-09 17:35:00,支付宝,
Push-81,161-2-2,Keep：背部训练课程提醒,【Keep】您收藏的【办公室人群背部放松】课程已更新，新增预防腰肌劳损动作讲解，今晚一起练起来吧！,2025-01-09 19:05:00,Keep,161-b
Push-82,,系统：存储空间不足,【系统通知】手机存储空间已使用超过90%，建议清理照片、视频或卸载不常用应用以释放空间。,2025-01-09 21:20:00,系统存储管理,
Push-83,,系统：存储空间不足提醒,【系统通知】您的手机存储空间已使用超过90%，建议及时清理照片、视频等文件，以保证系统流畅运行。,2025-01-10 07:45:00,系统存储管理,
Push-84,50-1,支付宝：摄影工作坊报名成功,【支付宝】您已成功报名“城市光影人像摄影工作坊”，课程费用198元已支付，订单号#P202501100812345，开课时间：2025-01-18 14:00，请准时参加。,2025-01-10 08:13:00,支付宝,50-a
Push-85,,雪球：A股开盘前瞻,【雪球】隔夜美股科技股普涨，或提振A股相关板块情绪。今日关注央行公开市场操作及12月CPI数据公布。您的自选股“宁德时代”将于9:30开盘。,2025-01-10 09:05:00,雪球,
Push-86,16-3,CFA协会：三级衍生品备考提醒,【CFA Institute App】距离2025年5月CFA三级考试还有约120天。今日推荐学习任务：完成衍生品章节“互换定价”课后习题，巩固利率互换与货币互换的核心计算。,2025-01-10 12:15:00,CFA Institute App,16-c
Push-87,,招商银行：年度账单整理提醒,【招商银行】2024年度电子账单已全部生成。您可通过“我的→年度账单”一键查看全年收支、投资及信用卡消费全景报告，助力您的财务规划。,2025-01-10 13:20:00,招商银行,
Push-88,,Wind：A股收盘快报,【Wind金融终端】今日A股三大指数涨跌不一，沪指微涨0.12%。您关注的ESG主题板块中，新能源表现活跃。点击查看详细复盘数据与机构观点。,2025-01-10 15:05:00,Wind,
Push-89,,高德地图：晚高峰路况提醒,【高德地图】当前岳麓区至开福区主干道拥堵，预计通行时间45分钟。为您推荐一条避开拥堵的备选路线，预计节省15分钟，是否切换导航？,2025-01-10 17:05:00,高德地图,
Push-90,162-2-1,美团：餐厅预定成功通知,【美团】您已成功预定“笨罗卜浏阳菜馆(太平街店)”，时间：2025-01-10 18:30，2人位。预定码#MT202501101830567，请凭码到店就餐。,2025-01-10 18:15:00,美团,162-b
Push-91,,网易云音乐：驾驶模式推荐,【网易云音乐】晚间驾车，为您推荐“专注驾驶·纯音乐”歌单，舒缓节奏助您放松返程。已为您切换至驾驶模式，语音点歌更安全。,2025-01-10 20:35:00,网易云音乐,
Push-92,16-3,Forest：专注学习提醒,【Forest专注森林】您设定的“CFA衍生品习题”专注时间将于22:00开始。种下一棵树，专注90分钟，解锁新树种“知识之杉”。,2025-01-10 21:50:00,Forest,16-c
Push-93,161-4-2,支付宝：支付成功提醒,【支付宝】您已成功支付步步高超市鲜奶站订单，金额 18.5 元，账单已同步至我的账单,2025-01-11 09:02:00,支付宝,161-d
Push-94,161-4-1,京东：为你推荐,【京东】根据您的浏览，为您推荐这款专业瑜伽垫和弹力带组合，满足居家力量训练需求，限时优惠中,2025-01-11 10:02:00,京东,161-d
Push-95,,支付宝：支付成功提醒,【支付宝】您已成功支付LAVAZZA拉瓦萨咖啡订单#LK202501111315，金额 38 元，账单已同步至我的账单,2025-01-11 13:18:00,支付宝,
Push-96,,雪球：内容更新提醒,【雪球】您关注的科技股板块有最新动态，多家公司发布ESG报告，点击查看详情,2025-01-11 13:40:00,雪球,
Push-97,,平安好车主：内容更新提醒,【平安好车主】您关注的父母医疗险产品对比表已更新，新增泰康乐享健康保障详情,2025-01-11 14:30:00,平安好车主,
Push-98,,支付宝：为你推荐,【支付宝】根据您的浏览记录，为您推荐泰康在线、友邦保险等适合父母的医疗险产品，可一键对比,2025-01-11 15:00:00,支付宝,
Push-99,,美团：餐厅预定成功通知,【美团】您已成功预定麓隐小院（18:30，2人），预定码 889456，请按时到店,2025-01-11 17:50:00,美团,
Push-100,,小红书：为你推荐,【小红书】发现长沙周边露营好去处，三月露营装备清单与地点攻略已备好，点击查看,2025-01-11 18:05:00,小红书,
Push-101,,微信支付：支付成功提醒,【微信支付】支付成功 42.8 元（罗比零食专卖店），可在支付凭证中查看详情,2025-01-11 20:45:00,微信,
Push-102,,系统：存储空间不足提醒,【系统通知】手机存储空间已不足 10%，建议清理照片、视频或卸载不常用应用,2025-01-11 22:15:00,系统存储管理,
Push-103,,雪球：早盘市场动态提醒,【雪球】周末财经要闻速递：美股科技股财报季开启，A股结构性机会显现。点击查看机构最新观点。,2025-01-12 08:45:00,雪球,
Push-104,162-3,支付宝：咖啡消费支付成功,【支付宝】您已成功支付一丹咖啡厅订单#CD20250112001，金额38元。账单已同步至我的账单。,2025-01-12 13:05:00,支付宝,162-c
Push-105,165-1-2,同花顺：开盘提醒,【同花顺】您关注的股票（代码：000001）将于明日（1月13日）09:30开盘。您设置的卖出提醒已生效。,2025-01-12 14:50:00,同花顺,165-a
Push-106,,支付宝：超市购物支付成功,【支付宝】您已成功支付罗比零食专卖店订单#LS20250112001，金额56.8元。账单已同步至我的账单。,2025-01-12 15:55:00,支付宝,
Push-107,172-2-2,平安好车主：保险产品对比提醒,【平安好车主】您关注的父母医疗险产品对比已完成。保障范围、续保条件等核心差异已清晰列出，点击查看详情。,2025-01-12 21:15:00,平安好车主,172-b
Push-108,,系统：存储空间不足提醒,【系统通知】手机存储空间已使用超过90%，部分应用运行可能变慢。建议及时清理照片、视频等文件。,2025-01-12 22:15:00,系统存储管理,
Push-109,,Keep：晨跑记录已生成,【Keep】您于06:50开始的晨跑已完成，距离7.2公里，时长45分钟，平均配速6‘15”，消耗热量约520千卡。,2025-01-13 07:35:00,Keep,
Push-110,,美团：订单支付成功,【美团】您在“沙拉补给站”的订单#202501131234已支付成功，实付金额68元，预计12:15送达。,2025-01-13 11:58:00,美团,
Push-111,164-1-2,腾讯会议：会议即将开始,【腾讯会议】您预约的会议“黄思琪客户方案沟通”将于14:00开始，会议号：123 456 789，点击即可加入。,2025-01-13 13:30:00,腾讯会议,164-a
Push-112,3-4,招商银行：理财申购成功,"【招商银行】您已成功申购招商招钱宝货币A，金额50,000.00元，预计年化收益率2.15%，详情可查看持仓。",2025-01-13 13:35:00,招商银行,3-l
Push-113,3-4,华泰证券：定投计划确认,"【华泰证券】您设置的沪深300指数基金（代码：510300）月定投计划已生效，下次扣款日期2025-02-13，扣款金额1,000.00元。",2025-01-13 13:38:00,华泰证券,3-l
Push-114,,菜鸟：包裹已送达,【菜鸟】您的包裹（尾号1234）已放入丰巢快递柜，地址：岳麓区双塘路99号金星住宅小区，取件码：6A8B9C，请及时领取。,2025-01-13 18:05:00,菜鸟,
Push-115,,CFA Institute：学习提醒,【CFA Institute】您今日有“道德与专业准则”学习计划待完成，预计用时95分钟，点击开始学习。,2025-01-13 19:10:00,CFA Institute,
Push-116,,系统：存储空间不足,【系统通知】手机存储空间已使用超过90%，部分功能可能受限，建议及时清理。,2025-01-13 20:30:00,系统存储管理,
Push-117,,雪球：今日财经早报,【雪球】早盘前瞻：宏观数据解读及市场情绪分析已更新，重点关注科技板块及行业ETF动向。,2025-01-14 07:15:00,雪球,
Push-118,165-2,华泰证券：委托成交提醒,【华泰证券】您的委托已全部成交。卖出成交均价 25.36元，买入成交均价 12.78元。详情请查看交割单。,2025-01-14 10:22:00,华泰证券,165-b
Push-119,,LinkedIn领英：人脉动态更新,【LinkedIn领英】您的联系人钱永强（投资总监）近期分享了关于股权激励税务筹划的文章，可能与您相关。,2025-01-14 10:55:00,LinkedIn领英,
Push-120,,支付宝：支付成功提醒,【支付宝】您已成功支付中国兰州拉面(广电店)订单#202501141201，金额 38元，账单已同步至我的账单。,2025-01-14 12:02:00,支付宝,
Push-121,171-2,微信读书：您订阅的专栏已更新,【微信读书】您关注的专栏《股权激励实务》发布了新文章：《员工持股计划与公司长期绩效的实证研究》。,2025-01-14 13:20:00,微信读书,171-b
Push-122,171-2,Wind金融终端：研报更新提醒,【Wind金融终端】您关注的腾讯控股（00700.HK）最新ESG报告及股权激励公告摘要已生成，请查收。,2025-01-14 14:30:00,Wind金融终端,171-b
Push-123,,雪球：您关注的组合调仓,【雪球】您关注的组合“科技龙头观察”今日有调仓操作，新增行业ETF持仓，点击查看详情。,2025-01-14 15:00:00,雪球,
Push-124,,系统：存储空间不足,【系统通知】当前手机存储空间已使用超过90%，建议及时清理照片、视频等文件。,2025-01-14 16:40:00,系统存储管理,
Push-125,,滴答清单：今日总结提醒,【滴答清单】您设定的“下班前梳理待办”提醒已触发。今日所有项目均已完成或取得进展，棒棒的！,2025-01-14 17:50:00,滴答清单,
Push-126,,Keep：步行挑战提醒,【Keep】今日步行目标尚未完成，距离10000步还差3500步，现在动起来吧！,2025-01-14 18:05:00,Keep,
Push-127,,美团外卖：订单确认通知,【美团外卖】您的轻食沙拉订单#MT202501141926已确认，商家“轻食主义”已接单，预计19:45送达。,2025-01-14 19:27:00,美团外卖,
Push-128,,Adobe Lightroom：云备份完成,【Adobe Lightroom】您于21:15导入的35张照片已完成云备份。所有调整已同步至云端。,2025-01-14 21:20:00,Adobe Lightroom,
Push-129,,知乎：推荐内容更新,【知乎】根据您的浏览，为您推荐话题“CFA三级私人财富管理核心考点解析”。,2025-01-14 22:10:00,知乎,
Push-130,,网易云音乐：每日推荐歌单,【网易云音乐】今日为您推荐【雨天通勤】专属歌单，包含5首轻音乐与财经播客，助您开启高效一天。,2025-01-15 08:05:00,网易云音乐,
Push-131,165-3,雪球：A股开盘快讯,【雪球】A股三大指数开盘涨跌不一，您关注的券商板块表现活跃。点击查看最新行情与机构观点。,2025-01-15 09:15:00,雪球,165-c
Push-132,,财联社：午间要闻速递,【财联社】午间快讯：客户行业相关政策解读发布，或对您下午工作有参考价值。,2025-01-15 12:30:00,财联社,
Push-133,171-3,Notion：学习资料更新,【Notion】您关注的IFRS 2股权激励专题笔记已更新，新增了权益与现金结算差异的案例分析。,2025-01-15 14:20:00,Notion,171-c
Push-134,162-4,携程旅行：露营预订成功,【携程旅行】您已成功预订松雅湖生态营地临湖帐篷位（3月），订单号CT20250115001，预定码SLH123456。含早餐套餐，定金已支付。,2025-01-15 19:03:00,携程旅行,162-d
Push-135,,Keep：核心训练课程提醒,【Keep】您收藏的【25分钟弹力带核心强化】课程已就绪，今日训练重点：平板支撑与臀桥，助您缓解腰背紧张。,2025-01-15 20:40:00,Keep,
Push-136,,系统：存储空间不足,【系统通知】当前手机存储空间已低于10%，建议清理照片、视频或卸载不常用应用以释放空间。,2025-01-15 21:25:00,系统存储管理,
Push-137,,Keep：晨跑记录已生成,【Keep】您今日在岳麓山风景名胜区的晨跑已完成，距离 4.0 公里，配速 6‘30“/公里，消耗约 320 千卡。点击查看详细数据与历史对比。,2025-01-16 07:50:00,Keep,
Push-138,166-2,雪球：沪深300指数异动提醒,【雪球】您关注的沪深300指数(000300)盘中波动超1.5%，当前报 3502.15 点，下跌 1.8%。科技板块领跌，点击查看成分股详情与机构观点。,2025-01-16 10:15:00,雪球,166-a
Push-139,,平安好车主：车险续保提醒,【平安好车主】您的车辆（湘A·12345）商业险即将于2025-02-28到期。一键续保享专属折扣，预估优惠金额 580 元。立即报价，保障不中断。,2025-01-16 14:30:00,平安好车主,
Push-140,171-4,税务研究提醒,已为您找到关于股权激励税务筹划的相关税法条文和案例，点击查看详情。,2025-01-16 14:30:00,税务研究,171-d
Push-141,1-5,企业微信：明日日程提醒,【企业微信】您明日（1月17日）09:30 有【投资总监汇报会】，地点：华泰证券8楼会议室。请提前准备ESG投资方案框架与客户咨询复盘材料。,2025-01-16 17:05:00,企业微信,1-f
Push-142,,悦跑圈：核心训练打卡提醒,【悦跑圈】您设定的【核心力量训练】计划提醒时间到啦！今日推荐动作：鸟狗式、平板支撑。坚持训练，有效缓解腰部压力，提升运动表现。,2025-01-16 17:10:00,悦跑圈,
Push-143,16-5,CFA Institute：三级备考资料更新,【CFA Institute】CFA三级2025年考纲微调解读及重点科目（如行为金融、组合管理）最新模拟题已上线。登录您的学习账户即可下载，助您高效备考。,2025-01-16 20:45:00,CFA Institute,16-e
Push-144,,系统：存储空间不足,【系统通知】您的手机存储空间已使用超过90%，部分应用运行可能变慢。建议及时清理照片、视频或卸载不常用应用。,2025-01-16 21:50:00,系统存储管理,
Push-145,,高德地图：个性化通勤路线推荐,【高德地图】为您推荐最优通勤路线：从岳麓区双塘路至开福区芙蓉中路，避开西二环拥堵，预计节省15分钟。点击查看详情。,2025-01-17 08:05:00,高德地图,
